単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
反動,35,35,0.5739,608
ぶらんこ,35,15,0.2459,609
曲がる,35,35,0.5739,610
ステージ,35,25,0.4099,611
ぶら下がる,35,35,0.5739,612
手前,35,34,0.5575,613
下り坂,35,35,0.5739,614
切,35,32,0.5247,615
女子,35,25,0.4099,616
番,35,35,0.5739,617
域,35,35,0.5739,618
同級生,34,30,0.4919,619
たたく,34,28,0.4591,620
気,34,33,0.5411,621
順番,34,33,0.5411,622
休む,34,31,0.5083,623
柵,34,23,0.3771,624
遊戯,34,32,0.5247,625
挫傷,34,34,0.5575,626
出来事,34,34,0.5575,627
引っかく,34,34,0.5575,628
反応,34,34,0.5575,629
味方,34,32,0.5247,630
診断,34,34,0.5575,631
靴,34,32,0.5247,632
テスト,33,31,0.5083,633
設置,33,32,0.5247,634
斜め,33,33,0.5411,635
向く,33,32,0.5247,636
指先,33,33,0.5411,637
急ぐ,33,32,0.5247,638
止まる,33,31,0.5083,639
こむ,33,32,0.5247,640
怒る,33,32,0.5247,641
ウォーミングアップ,33,32,0.5247,642
硬式,33,33,0.5411,643
けいれん,33,29,0.4755,644
精巣,33,29,0.4755,645
総合,32,31,0.5083,646
学年,32,32,0.5247,647
内側,32,32,0.5247,648
職員,32,31,0.5083,649
公園,32,30,0.4919,650
箇所,32,27,0.4427,651
下敷き,32,31,0.5083,652
字,32,28,0.4591,653
走行,32,29,0.4755,654
仰向け,32,32,0.5247,655
縁,32,30,0.4919,656
ひねる,32,32,0.5247,657
スタート,31,27,0.4427,658
飛び降りる,31,30,0.4919,659
ゴム,31,22,0.3607,660
泳ぐ,31,21,0.3443,661
ダッシュ,31,27,0.4427,662
保護,31,27,0.4427,663
フライ,31,31,0.5083,664
踏む,31,29,0.4755,665
前歯,31,29,0.4755,666
スライディング,31,29,0.4755,667
一塁,31,27,0.4427,668
たち,31,29,0.4755,669
折れる,31,24,0.3935,670
乱取り,31,27,0.4427,671
士,30,23,0.3771,672
ひっかかる,30,30,0.4919,673
気分,30,30,0.4919,674
穴,30,26,0.4263,675
班,30,29,0.4755,676
㎝,30,28,0.4591,677
持ち上げる,30,28,0.4591,678
火傷,30,29,0.4755,679
(,30,29,0.4755,680
.,30,27,0.4427,681
徒歩,30,30,0.4919,682
片,30,28,0.4591,683
まぶた,30,28,0.4591,684
球技,30,30,0.4919,685
みる,30,30,0.4919,686
余る,30,30,0.4919,687
頚椎,30,30,0.4919,688
刃,30,27,0.4427,689
分間,30,23,0.3771,690
狭窄,30,30,0.4919,691
そば,29,29,0.4755,692
もつれる,29,29,0.4755,693
打席,29,29,0.4755,694
触れる,29,29,0.4755,695
始まる,29,29,0.4755,696
左肩,29,27,0.4427,697
路,29,29,0.4755,698
ポール,29,22,0.3607,699
火,29,22,0.3607,700
肢,29,28,0.4591,701
唇,29,28,0.4591,702
気づく,29,29,0.4755,703
度,29,29,0.4755,704
膜,29,28,0.4591,705
守る,29,26,0.4263,706
ペア,29,25,0.4099,707
動ける,29,29,0.4755,708
ＡＥＤ,29,25,0.4099,709
せき柱,29,29,0.4755,710
胸,28,28,0.4591,711
突く,28,28,0.4591,712
中央,28,28,0.4591,713
異常,28,25,0.4099,714
雨,28,28,0.4591,715
メートル,28,27,0.4427,716
周り,28,28,0.4591,717
カーブ,28,27,0.4427,718
バス,28,22,0.3607,719
フック,28,20,0.3279,720
鉄,28,23,0.3771,721
裂創,28,28,0.4591,722
跳び箱,28,22,0.3607,723
パイプ,28,18,0.2951,724
取り合い,28,28,0.4591,725
乗せる,28,28,0.4591,726
周囲,27,26,0.4263,727
ホーム,27,23,0.3771,728
うまい,27,27,0.4427,729
倉庫,27,22,0.3607,730
はさむ,27,27,0.4427,731
隙間,27,27,0.4427,732
回る,27,25,0.4099,733
鉄製,27,27,0.4427,734
すべる,27,27,0.4427,735
拍子,27,27,0.4427,736
振り回す,27,25,0.4099,737
調理,27,23,0.3771,738
話す,27,26,0.4263,739
ドリブル,27,25,0.4099,740
坂道,27,27,0.4427,741
動かす,27,27,0.4427,742
