語1,語2,共起事例数,Jaccard（ネットワーク重み）
意識,救急,90,0.162748643761302
場,手術,90,0.07957559681697612
強打,走る,90,0.06320224719101124
れる,意識,90,0.061016949152542375
廊下,負傷,90,0.04716981132075472
床,負傷,90,0.04488778054862843
サッカー,負傷,90,0.04488778054862843
終了,部,90,0.03597122302158273
AED,搬送,89,0.2099056603773585
ふざける,友人,89,0.10866910866910867
前歯,自転車,89,0.08444022770398482
手術,運動,89,0.08436018957345971
打つ,運動,89,0.05727155727155727
れる,室,89,0.056615776081424936
れる,廊下,89,0.055108359133126936
強打,相手,89,0.05466830466830467
れる,崩す,89,0.05042492917847025
時間,顔面,89,0.050225733634311515
ボール,足,89,0.040436165379373015
練習,顔,89,0.03662551440329218
右手,部,89,0.03450949980612641
ぶつける,部,89,0.033534287867370005
残存,醜状,88,0.3651452282157676
瘢痕,醜状,88,0.3087719298245614
守備,野球,88,0.11181702668360864
残る,瞳,88,0.1073170731707317
散る,残る,88,0.1071863580998782
手,滑る,88,0.09431939978563773
場,外,88,0.0846968238691049
場,直撃,88,0.06842923794712286
友人,走る,88,0.06732976281560826
バランス,体育,88,0.0658682634730539
前歯,野球,88,0.06451612903225806
直撃,顔面,88,0.061153578874218205
体育,強打,88,0.05455672659640422
受診,眼,88,0.052948255114320095
強打,試合,88,0.05216360403082395
体育館,転倒,88,0.05092592592592592
れる,バランス,88,0.049355019629837356
れる,強い,88,0.0481663929939792
当たる,性,88,0.04703367183324426
手術,負傷,88,0.04683342203299627
取る,当たる,88,0.04536082474226804
練習,肘,88,0.039532794249775384
肘,部,88,0.035498184751916094
られる,部,88,0.034934497816593885
残る,疼痛,87,0.10661764705882353
教室,顔面,87,0.05678851174934726
れる,頭部,87,0.05357142857142857
休憩,負傷,87,0.04398382204246714
練習,視力,87,0.04057835820895522
ガラス,切る,86,0.18259023354564755
手術,骨折,86,0.13522012578616352
バッティング,直撃,86,0.1262848751835536
外,試合,86,0.07678571428571429
体育,手術,86,0.07543859649122807
走る,運動,86,0.060266292922214436
廊下,転倒,86,0.0560625814863103
手,顔面,86,0.05422446406052964
