項目数,項目集合,事例数,支持度,支持度（％）
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=2,162,0.10233733417561591,10.2337
2,場合別1=休憩時間 | 発生場所1=学校内・校舎内（園内・園舎内）,161,0.10170562223626027,10.1706
2,被災学校種=高 | 通学方法=自転車,160,0.10107391029690461,10.1074
2,和暦=令和 | 被災学校種=高,158,0.0998104864181933,9.981
2,和暦=平成 | 場合別2=体育（保健体育）,153,0.09665192672141504,9.6652
2,性別=男 | 被災学校種=小,152,0.09602021478205938,9.602
2,性別=女 | 発生場所1=学校内・校舎内（園内・園舎内）,152,0.09602021478205938,9.602
2,競技種目=野球（含軟式） | 被災学年=2,152,0.09602021478205938,9.602
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=3,146,0.09222994314592546,9.223
2,被災学年=2 | 被災学校種=中,146,0.09222994314592546,9.223
2,発生場所2=体育館・屋内運動場 | 被災学校種=高,143,0.0903348073278585,9.0335
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=3,142,0.08970309538850284,8.9703
2,場合別1=課外指導 | 発生場所1=学校内・校舎内（園内・園舎内）,141,0.0890713834491472,8.9071
2,場合別2=体育（保健体育） | 性別=男,140,0.08843967150979154,8.844
2,性別=女 | 発生場所1=学校外（園外）,137,0.08654453569172457,8.6545
2,性別=男 | 通学方法=自転車,137,0.08654453569172457,8.6545
2,場合別2=体育的部活動 | 発生場所1=学校内・校舎内（園内・園舎内）,136,0.08591282375236892,8.5913
2,競技種目=野球（含軟式） | 被災学年=1,136,0.08591282375236892,8.5913
2,場合別1=通学中 | 場合別2=下校（降園）中,135,0.08528111181301326,8.5281
2,場合別2=下校（降園）中 | 発生場所1=学校外（園外）,135,0.08528111181301326,8.5281
2,発生場所2=運動場・校庭（園庭） | 被災学年=3,134,0.08464939987365762,8.4649
2,場合別1=課外指導 | 被災学校種=中,134,0.08464939987365762,8.4649
2,場合別2=下校（降園）中 | 発生場所2=道路,132,0.08338597599494631,8.3386
2,場合別1=課外指導 | 被災学年=3,131,0.08275426405559065,8.2754
