前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別2=下校（降園）中 | 発生場所1=学校外（園外）,通学方法=徒歩,3,32,0.02021478205938092,0.23703703703703705,8.726270456503014
発生場所1=学校外（園外） | 通学方法=徒歩,場合別2=下校（降園）中,3,32,0.02021478205938092,0.7441860465116279,8.726270456503014
競技種目=バレーボール,場合別1=課外指導 | 性別=女,3,24,0.015161086544535692,0.5581395348837209,8.662106703146375
場合別1=課外指導 | 性別=女,競技種目=バレーボール,3,24,0.015161086544535692,0.23529411764705882,8.662106703146375
発生場所2=学校外運動場・競技場,場合別1=課外指導 | 発生場所1=学校外（園外）,3,116,0.07327858496525584,0.9747899159663865,8.620628139523966
場合別1=課外指導 | 発生場所1=学校外（園外）,発生場所2=学校外運動場・競技場,3,116,0.07327858496525584,0.6480446927374302,8.620628139523966
場合別2=授業終了後の特定時間中,場合別1=休憩時間 | 被災学年=2,3,20,0.012634238787113077,0.35714285714285715,8.566017316017316
場合別1=休憩時間 | 被災学年=2,場合別2=授業終了後の特定時間中,3,20,0.012634238787113077,0.30303030303030304,8.566017316017316
場合別2=授業終了後の特定時間中,場合別1=休憩時間 | 性別=女,3,23,0.014529374605180037,0.4107142857142857,8.554746240601503
場合別1=休憩時間 | 性別=女,場合別2=授業終了後の特定時間中,3,23,0.014529374605180037,0.3026315789473684,8.554746240601503
場合別1=通学中 | 被災学校種=小,場合別2=下校（降園）中,3,21,0.013265950726468731,0.7241379310344828,8.491187739463602
発生場所2=学校外体育館,場合別2=体育的部活動 | 発生場所1=学校外（園外）,3,37,0.02337334175615919,0.925,8.415373563218392
場合別2=体育的部活動 | 発生場所1=学校外（園外）,発生場所2=学校外体育館,3,37,0.02337334175615919,0.21264367816091953,8.41537356321839
性別=男 | 通学方法=徒歩,場合別2=下校（降園）中,3,20,0.012634238787113077,0.7142857142857143,8.375661375661377
競技種目=ソフトボール,場合別1=各教科等 | 被災学校種=中,3,27,0.017056222362602652,0.36,8.259130434782609
場合別1=各教科等 | 被災学校種=中,競技種目=ソフトボール,3,27,0.017056222362602652,0.391304347826087,8.259130434782609
場合別2=体育（保健体育）,場合別1=各教科等 | 競技種目=ソフトボール,3,57,0.036007580543272265,0.296875,8.244791666666668
場合別1=各教科等 | 競技種目=ソフトボール,場合別2=体育（保健体育）,3,57,0.036007580543272265,1.0,8.244791666666666
場合別1=各教科等 | 競技種目=バスケットボール,場合別2=体育（保健体育）,3,21,0.013265950726468731,1.0,8.244791666666666
場合別1=各教科等 | 競技種目=その他,場合別2=体育（保健体育）,3,17,0.010739102969046115,1.0,8.244791666666666
場合別2=登校（登園）中,被災学年=3 | 通学方法=自転車,3,31,0.01958307012002527,0.26495726495726496,8.22406569465393
被災学年=3 | 通学方法=自転車,場合別2=登校（登園）中,3,31,0.01958307012002527,0.6078431372549019,8.224065694653929
発生場所2=学校外体育館,場合別1=課外指導 | 発生場所1=学校外（園外）,3,37,0.02337334175615919,0.925,8.180307262569833
場合別1=課外指導 | 発生場所1=学校外（園外）,発生場所2=学校外体育館,3,37,0.02337334175615919,0.20670391061452514,8.180307262569832
