順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
325,引火,炎,0.230769,6,17,15,26,7682
326,窓,階,0.229508,56,166,134,244,7682
327,体操,組,0.229299,36,112,81,157,7682
328,プール,飛び込む,0.229008,30,102,59,131,7682
329,濡れる,雨,0.228571,16,38,48,70,7682
330,ずれる,タイミング,0.228571,8,21,22,35,7682
331,ボール,部,0.227895,732,1623,2321,3212,7682
332,手押し,盤,0.227273,5,11,16,22,7682
333,当たる,練習,0.227169,699,1708,2068,3077,7682
334,脳,麻痺,0.226667,34,92,92,150,7682
335,刃,手押し,0.225806,7,27,11,31,7682
336,動,車,0.225694,65,85,268,288,7682
337,動,病院,0.225352,64,85,263,284,7682
338,ガラス,窓,0.22449,77,254,166,343,7682
339,クラブ,ゴルフ,0.22449,11,44,16,49,7682
340,待ち,順番,0.22449,11,17,43,49,7682
341,バット,振る,0.224422,68,208,163,303,7682
342,病院,除,0.224199,63,263,81,281,7682
343,失う,意識,0.222841,80,212,227,359,7682
344,細,車,0.222222,64,84,268,288,7682
345,文化,祭,0.222222,24,26,106,108,7682
346,アルコール,実験,0.222222,10,10,45,45,7682
347,ひも,結ぶ,0.222222,6,23,10,27,7682
348,めまい,吐き気,0.222222,6,20,13,27,7682
349,電車,駅,0.222222,6,14,19,27,7682
350,カンナ,木工,0.222222,4,11,11,18,7682
351,ハンド,ベースボール,0.222222,4,11,11,18,7682
352,病院,細,0.221831,63,263,84,284,7682
353,くる,飛ぶ,0.221384,176,697,274,795,7682
354,AED,呼吸,0.221374,29,100,60,131,7682
355,車,除,0.22028,63,268,81,286,7682
356,残る,瘢痕,0.22009,195,797,284,886,7682
357,レンズ,眼鏡,0.219512,9,13,37,41,7682
358,捕る,球,0.21791,73,173,235,335,7682
359,ガラス,ドア,0.217391,70,254,138,322,7682
360,排水,溝,0.217391,10,11,45,46,7682
361,歩道,車道,0.217391,10,44,12,46,7682
362,-,駆け付ける,0.217391,5,12,16,23,7682
363,チップ,ファール,0.217391,5,13,15,23,7682
364,刺す,目撃,0.217391,5,16,12,23,7682
365,原因物:スポーツ用具,野球,0.21699,470,1934,702,2166,7682
366,歯,歯科,0.216638,125,498,204,577,7682
367,手術,植込み,0.216617,73,335,75,337,7682
368,下校,自転車,0.216606,120,281,393,554,7682
369,蘇生,ＡＥＤ,0.216216,16,65,25,74,7682
370,AED,意識,0.215613,58,100,227,269,7682
371,AED,植え込む,0.215517,25,100,41,116,7682
372,自転車,道路,0.215054,100,393,172,465,7682
373,加える,歯,0.213675,125,212,498,585,7682
374,器,圧迫,0.213675,25,69,73,117,7682
375,歯,補綴,0.213542,123,498,201,576,7682
376,後日,車,0.213058,62,85,268,291,7682
377,心肺,病院,0.212838,63,96,263,296,7682
378,機能,関節,0.212838,63,222,137,296,7682
379,心室,要請,0.211538,11,13,50,52,7682
380,受傷部位:歯牙,折,0.211372,171,777,203,809,7682
381,保育,児,0.210909,58,182,151,275,7682
382,一部,骨,0.210526,32,69,115,152,7682
383,スポーツ,テスト,0.210526,8,12,34,38,7682
384,右前,房,0.210526,4,10,13,19,7682
385,相手,選手,0.210472,205,908,271,974,7682
386,受傷部位:歯牙,破る,0.210127,166,777,179,790,7682
387,AED,圧迫,0.20979,30,100,73,143,7682
388,受傷部位:眼,練習,0.209724,647,1664,2068,3085,7682
389,残存,瘢痕,0.209677,91,241,284,434,7682
390,AED,要請,0.209677,26,100,50,124,7682
391,AED,搬送,0.209412,89,100,414,425,7682
392,残る,運動,0.209337,278,797,809,1328,7682
393,アルコール,理科,0.209302,9,10,42,43,7682
394,心室,胸骨,0.209302,9,13,39,43,7682
395,原因物:乗り物,登校,0.20904,148,622,234,708,7682
396,S,駆け付ける,0.208333,5,13,16,24,7682
397,人工,心臓,0.208333,5,11,18,24,7682
398,カーブ,曲がる,0.207792,16,41,52,77,7682
399,当たる,部,0.207734,693,1708,2321,3336,7682
400,1,2,0.207715,70,190,217,337,7682
401,練習,野球,0.206972,475,2068,702,2295,7682
