種別,発生場所1,発生場所2,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
歯牙障害,学校外（園外）,学校外体育館,40,2.53,0.52,7,1583,7682
歯牙障害,学校外（園外）,その他,28,1.77,0.36,8,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,階段,25,1.58,0.33,9,1583,7682
歯牙障害,学校内・校舎外（園内・園舎外）,その他,20,1.26,0.26,10,1583,7682
歯牙障害,学校外（園外）,山林野（含スキー場）,17,1.07,0.22,11,1583,7682
歯牙障害,学校内・校舎外（園内・園舎外）,プール,16,1.01,0.21,12,1583,7682
歯牙障害,学校外（園外）,公園・遊園地,12,0.76,0.16,13,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,その他,11,0.69,0.14,14,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,便所,9,0.57,0.12,15,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,実習実験室,8,0.51,0.1,16,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,昇降口・玄関,6,0.38,0.08,17,1583,7682
歯牙障害,学校外（園外）,河川,5,0.32,0.07,18,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,講堂,3,0.19,0.04,19,1583,7682
歯牙障害,学校外（園外）,海・湖・沼・池,2,0.13,0.03,20,1583,7682
歯牙障害,学校外（園外）,運動場・校庭（園庭）,1,0.06,0.01,21,1583,7682
精神・神経障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,217,24.72,2.82,1,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,189,21.53,2.46,2,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,教室（保育室）,116,13.21,1.51,3,878,7682
精神・神経障害,学校外（園外）,学校外運動場・競技場,57,6.49,0.74,4,878,7682
精神・神経障害,学校内・校舎外（園内・園舎外）,プール,52,5.92,0.68,5,878,7682
精神・神経障害,学校外（園外）,道路,49,5.58,0.64,6,878,7682
精神・神経障害,学校内・校舎内（園内・園舎内）,廊下,48,5.47,0.62,7,878,7682
