語1,語2,共起事例数,Jaccard（ネットワーク重み）
残る,顔,76,0.07707910750507099
ぶつかる,相手,76,0.0738581146744412
れる,機能,76,0.05832693783576362
ガラス,負傷,76,0.052924791086350974
左手,負傷,76,0.0527411519777932
機能,練習,76,0.043403769274700174
人,眼,76,0.04328018223234624
休憩,眼,76,0.04308390022675737
終了,部,76,0.038306451612903226
られる,部,76,0.03794308537194209
バッティング,直撃,75,0.13761467889908258
場,外傷,75,0.08896797153024912
バスケットボール,試合,75,0.08771929824561403
体育,治療,75,0.07606490872210954
手,時間,75,0.06619593998234775
負傷,顔,75,0.05165289256198347
膝,負傷,75,0.05023442732752847
場,転倒,75,0.04966887417218543
投げる,負傷,75,0.04898758981058132
れる,遊ぶ,75,0.04829362524146812
搬送,負傷,75,0.04767959313413859
当たる,足,75,0.04293073840870063
散る,部,75,0.04006410256410257
瞳,部,75,0.04006410256410257
性,障害,74,0.14453125
ガラス,教室,74,0.11144578313253012
外傷,運動,74,0.09438775510204081
崩す,強打,74,0.0891566265060241
外,試合,74,0.08486238532110092
打球,試合,74,0.08034744842562432
場,直撃,74,0.07088122605363985
強い,試合,74,0.06727272727272728
倒れる,場,74,0.06271186440677966
ボール,視力,74,0.05653170359052712
れる,地面,74,0.05240793201133145
れる,サッカー,74,0.04983164983164983
ボール,骨折,74,0.048812664907651716
れる,強い,74,0.048366013071895426
サッカー,負傷,74,0.04665825977301387
強打,負傷,74,0.04370939161252215
練習,飛ぶ,74,0.04277456647398844
強打,眼,74,0.0389268805891636
しまう,眼,74,0.037929267042542285
園,庭,73,0.6697247706422018
手術,植込み,73,0.2166172106824926
場,減退,73,0.09395109395109395
残る,視,73,0.0906832298136646
人,友人,73,0.08468677494199536
休憩,友人,73,0.0839080459770115
サッカー,体育,73,0.06952380952380953
友人,走る,73,0.06721915285451197
膝,転倒,73,0.06684981684981685
体育館,試合,73,0.06535362578334826
れる,右手,73,0.051264044943820225
眼,跳ね返る,73,0.049224544841537425
ぶつかる,ボール,73,0.046885035324341684
付近,眼,73,0.045625
右手,練習,73,0.038995726495726496
指,部,73,0.036210317460317464
滑る,部,73,0.0358018636586562
シャトル,バドミントン,72,0.5373134328358209
意識,車,72,0.192
心肺,搬送,72,0.17433414043583534
救急,障害,72,0.1094224924012158
手,持つ,72,0.10434782608695652
減退,運動,72,0.10027855153203342
視力,運動,72,0.09486166007905138
倒れる,試合,72,0.06096528365791702
教室,転倒,72,0.05673758865248227
れる,失う,72,0.056382145653876274
れる,顔,72,0.053175775480059084
当たる,球,72,0.0511727078891258
ネット,眼,72,0.04669260700389105
ボール,強打,72,0.04345202172601086
ボール,足,72,0.043010752688172046
部,部員,72,0.03866809881847476
入る,部,72,0.035346097201767304
ぶつける,部,72,0.034934497816593885
AED,病院,71,0.24825174825174826
失う,指,71,0.1903485254691689
搬送,障害,71,0.10790273556231003
性,野球,71,0.1056547619047619
ふざける,友人,71,0.10534124629080119
場,視力,71,0.08658536585365853
足,蹴る,71,0.08616504854368932
前額,残る,71,0.08179723502304148
相手,膝,71,0.07601713062098502
休憩,運動,71,0.07312049433573635
場,障害,71,0.07114228456913828
教室,走る,71,0.0707876370887338
倒れる,運動,71,0.06322350845948353
当たる,跳ね返る,71,0.05399239543726236
指,負傷,71,0.049271339347675226
れる,崩す,71,0.04787592717464599
れる,野球,71,0.04482323232323232
部,顔,71,0.034923757993113626
ガラス,ドア,70,0.22012578616352202
失う,意識,70,0.21341463414634146
視力,野球,70,0.11884550084889643
休憩,教室,70,0.08883248730964467
室,残る,70,0.06842619745845552
友人,足,70,0.06829268292682927
体育,崩す,70,0.06679389312977099
られる,れる,70,0.05259203606311044
ボール,右手,70,0.04697986577181208
眼,障害,70,0.04029936672423719
眼,足,70,0.036420395421436005
接触,部,70,0.036138358286009295
ぶつかる,練習,70,0.03598971722365039
意識,部,70,0.035478966041561075
右手,指,69,0.13193116634799235
球,野球,69,0.11311475409836065
強打,頭部,69,0.09031413612565445
残る,視野,69,0.08455882352941177
外,残る,69,0.07317073170731707
しまう,友人,69,0.06515580736543909
体育,手,69,0.05932932072226999
れる,後日,69,0.05892399658411614
打つ,運動,69,0.056006493506493504
くる,転倒,69,0.051685393258426963
れる,状態,69,0.05141579731743666
当たる,減退,69,0.05114899925871016
眼,調節,69,0.046747967479674794
れる,バランス,69,0.04606141522029372
地面,負傷,69,0.045454545454545456
しまう,ボール,69,0.04035087719298246
受診,練習,69,0.03837597330367074
練習,膝,69,0.03737811484290358
植込み,病院,68,0.25757575757575757
切る,割れる,68,0.17258883248730963
AED,救急,68,0.16113744075829384
受診,性,68,0.1548974943052392
治療,瘢痕,68,0.12252252252252252
AED,倒れる,68,0.12208258527827648
残る,複,68,0.08478802992518704
時間,終了,68,0.07962529274004684
救急,走る,68,0.07464324917672886
強い,時間,68,0.06319702602230483
残る,顔面,68,0.05329153605015674
ボール,性,68,0.04860614724803431
状態,練習,68,0.03796761585706309
ぶつかる,眼,68,0.03761061946902655
地面,練習,68,0.03644158628081458
登校,自転車,67,0.2637795275590551
投げる,野球,67,0.08622908622908623
病院,走る,67,0.08600770218228498
接触,相手,67,0.08375
くる,倒れる,67,0.06660039761431412
強打,走る,67,0.06504854368932039
強打,時間,67,0.058823529411764705
くる,時間,67,0.056827820186598814
ぶつかる,転倒,67,0.055926544240400666
状,負傷,67,0.04862119013062409
残る,相手,67,0.04708362614195362
意識,練習,67,0.03837342497136312
練習,車,67,0.03766160764474424
口,昇降,66,0.4647887323943662
後日,搬送,66,0.16296296296296298
動,救急,66,0.16136919315403422
ぶつける,額,66,0.13924050632911392
戻る,教室,66,0.1166077738515901
手,滑る,66,0.09166666666666666
地面,強打,66,0.08571428571428572
マット,体育,66,0.0829145728643216
教室,遊ぶ,66,0.07424071991001124
接触,転倒,66,0.06867845993756504
れる,除,66,0.056265984654731455
れる,細,66,0.05612244897959184
れる,動,66,0.056074766355140186
倒れる,残る,66,0.052673583399840386
転倒,運動,66,0.045236463331048665
眼,視,66,0.044444444444444446
練習,落下,66,0.036830357142857144
床,部,66,0.03228962818003914
心肺,蘇生,65,0.6770833333333334
AED,除,65,0.5603448275862069
AED,細,65,0.5462184873949579
AED,動,65,0.5416666666666666
さ,高い,65,0.4642857142857143
動,車,65,0.25
脳,障害,65,0.1780821917808219
救急,細,65,0.15892420537897312
治療,病院,65,0.1224105461393597
教室,窓,65,0.11265164644714037
外傷,野球,65,0.10466988727858294
体育館,手術,65,0.08879781420765027
人,遊ぶ,65,0.08441558441558442
地面,手,65,0.08408796895213454
下校,転倒,65,0.06742738589211618
ぶつかる,時間,65,0.06238003838771593
AED,れる,65,0.054484492875104776
体育,打つ,65,0.0504266873545384
れる,終了,65,0.04935459377372817
人,当たる,65,0.040701314965560426
守備,練習,65,0.039755351681957186
残存,眼,65,0.03958587088915956
当たる,教室,65,0.0378567268491555
床,練習,65,0.03581267217630854
機能,脳,64,0.2591093117408907
細,車,64,0.24615384615384617
動,病院,64,0.2302158273381295
救急,除,64,0.15724815724815724
強打,足,64,0.06604747162022703
くる,教室,64,0.06604747162022703
手術,試合,64,0.06406406406406406
体育,強い,64,0.057971014492753624
しまう,時間,64,0.053691275167785234
ノック,ボール,64,0.051364365971107544
相手,運動,64,0.04919292851652575
ボール,受診,64,0.045133991537376586
当たる,顔,64,0.04263824117255163
負傷,頭部,64,0.042105263157894736
練習,肘,64,0.03682393555811277
肘,部,64,0.032520325203252036
脳,高次,63,0.7
機能,高次,63,0.2850678733031674
車,除,63,0.2441860465116279
病院,除,63,0.2290909090909091
AED,車,63,0.22743682310469315
病院,細,63,0.22661870503597123
心肺,病院,63,0.21724137931034482
機能,関節,63,0.2135593220338983
障害,高次,63,0.18529411764705883
後日,救急,63,0.15403422982885084
搬送,機能,63,0.11517367458866545
搬送,瘢痕,63,0.10327868852459017
手,落下,63,0.09012875536480687
体育,病院,63,0.06877729257641921
登校,転倒,63,0.0672358591248666
しまう,足,63,0.061764705882352944
転倒,頭部,63,0.05635062611806798
体育,強打,63,0.05398457583547558
相手,顔面,63,0.05325443786982249
教室,残る,63,0.05180921052631579
手,残る,63,0.05076551168412571
ボール,跳ね返る,63,0.05052125100240577
体育館,転倒,63,0.050199203187251
残る,足,63,0.05015923566878981
転倒,遊ぶ,63,0.0498812351543943
線,負傷,63,0.04632352941176471
当たる,残存,63,0.042740841248303935
眼,眼球,63,0.04169424222369292
部,額,63,0.03125
後日,除,62,0.6138613861386139
後日,細,62,0.5961538461538461
動,後日,62,0.5904761904761905
後日,車,62,0.23846153846153847
球,直撃,62,0.12180746561886051
救急,機能,62,0.11293260473588343
救急,瘢痕,62,0.10130718954248366
他校,試合,62,0.08288770053475936
残る,麻痺,62,0.07524271844660194
外,運動,62,0.07515151515151515
挫創,残る,62,0.0744297719087635
しまう,右手,62,0.07425149700598803
残る,病院,62,0.06268958543983821
体育館,相手,62,0.05656934306569343
打つ,顔面,62,0.055357142857142855
時間,顔面,62,0.05227655986509275
試合,顔面,62,0.05098684210526316
友人,場,62,0.050121261115602264
れる,挟む,62,0.0499194847020934
ボール,外傷,62,0.04599406528189911
眼,近く,62,0.038366336633663366
減退,練習,62,0.037237237237237236
倒れる,負傷,62,0.036004645760743324
外,練習,62,0.03518728717366629
痛み,部,62,0.03199174406604747
失う,搬送,61,0.11753371868978806
体育館,治療,61,0.08243243243243244
休憩,遊ぶ,61,0.07800511508951406
時間,鬼ごっこ,61,0.0759651307596513
残る,脳,61,0.07411907654921021
友人,蹴る,61,0.06939704209328783
足,遊ぶ,61,0.06531049250535331
搬送,試合,61,0.05776515151515151
れる,頬,61,0.04552238805970149
しまう,転倒,61,0.0450849963045085
痕,負傷,61,0.04498525073746313
れる,床,61,0.04449307075127644
性,負傷,61,0.04224376731301939
当たる,近く,61,0.042156185210780926
当たる,障害,61,0.038705583756345176
グラウンド,練習,61,0.03659268146370726
つく,練習,61,0.03413542249580302
ボール,転倒,61,0.030257936507936508
ガラス,部,61,0.03007889546351085
状態,部,61,0.03007889546351085
骨,骨折,60,0.14527845036319612
心肺,救急,60,0.14084507042253522
倒れる,心肺,60,0.10695187165775401
地面,場,60,0.06018054162487462
直撃,運動,60,0.06012024048096192
