列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
場合別2,道徳,歯牙障害,0,0.20606612861234053,-0.5094943937808232,False
場合別2,遠足,歯牙障害以外,22,26.19981775579276,-1.8113935836469675,False
場合別2,遠足,歯牙障害,11,6.800182244207238,1.811393583646968,False
場合別2,（欠損）,歯牙障害以外,395,319.9553501692268,9.494520419162141,True
場合別2,（欠損）,歯牙障害,8,83.04464983077324,-9.494520419162145,True
競技種目,その他,歯牙障害以外,101,100.82960166623275,0.037695362929579306,False
競技種目,その他,歯牙障害,26,26.17039833376725,-0.037695362929578514,False
競技種目,サッカー・フットサル,歯牙障害以外,423,396.9669356938297,2.976865882641117,True
競技種目,サッカー・フットサル,歯牙障害,77,103.03306430617027,-2.976865882641117,True
競技種目,スキー,歯牙障害以外,15,15.08474355636553,-0.04812515625628242,False
競技種目,スキー,歯牙障害,4,3.9152564436344703,0.04812515625628267,False
競技種目,スケート,歯牙障害以外,2,2.3818016141629785,-0.5450878216504172,False
競技種目,スケート,歯牙障害,1,0.6181983858370216,0.5450878216504171,False
競技種目,ソフトボール,歯牙障害以外,138,169.10791460557147,-5.344308831928349,True
競技種目,ソフトボール,歯牙障害,75,43.892085394428534,5.344308831928349,True
競技種目,テニス（含ソフトテニス）,歯牙障害以外,93,88.1266597240302,1.1519411810251912,False
競技種目,テニス（含ソフトテニス）,歯牙障害,18,22.8733402759698,-1.151941181025192,False
競技種目,ドッジボール,歯牙障害以外,17,18.260479041916167,-0.6507697487165077,False
競技種目,ドッジボール,歯牙障害,6,4.7395209580838324,0.6507697487165083,False
競技種目,ハンドボール,歯牙障害以外,53,53.19356938297319,-0.0587226966099848,False
競技種目,ハンドボール,歯牙障害,14,13.806430617026816,0.058722696609983714,False
競技種目,バスケットボール,歯牙障害以外,233,273.9071856287425,-5.571504358330869,True
競技種目,バスケットボール,歯牙障害,112,71.09281437125749,5.571504358330867,True
競技種目,バドミントン,歯牙障害以外,125,108.76894038010934,3.4593830048906034,True
競技種目,バドミントン,歯牙障害,12,28.231059619890654,-3.459383004890603,True
競技種目,バレーボール,歯牙障害以外,115,125.4415516792502,-2.075170502605317,True
競技種目,バレーボール,歯牙障害,43,32.558448320749804,2.075170502605317,True
競技種目,ホッケー,歯牙障害以外,7,21.436214527466806,-6.880825240377499,True
競技種目,ホッケー,歯牙障害,20,5.563785472533194,6.880825240377499,True
競技種目,ボクシング,歯牙障害以外,11,9.527206456651914,1.0519503603179188,False
競技種目,ボクシング,歯牙障害,1,2.4727935433480863,-1.051950360317919,False
競技種目,ポートボール,歯牙障害以外,3,3.175735485550638,-0.21729368061155718,False
競技種目,ポートボール,歯牙障害,1,0.8242645144493621,0.21729368061155718,False
競技種目,マット運動,歯牙障害以外,78,65.89651132517574,3.302440333948912,True
競技種目,マット運動,歯牙障害,5,17.103488674824266,-3.302440333948913,True
競技種目,ヨット,歯牙障害以外,2,1.587867742775319,0.7205807898689066,False
競技種目,ヨット,歯牙障害,0,0.41213225722468105,-0.7205807898689066,False
競技種目,ラグビー,歯牙障害以外,91,82.56912262431658,2.057882067376047,True
競技種目,ラグビー,歯牙障害,13,21.430877375683416,-2.0578820673760454,True
競技種目,レスリング,歯牙障害以外,12,9.527206456651914,1.766205501555523,False
競技種目,レスリング,歯牙障害,0,2.4727935433480863,-1.7662055015555231,False
競技種目,体操（その他）,歯牙障害以外,20,19.05441291330383,0.47794718819261856,False
競技種目,体操（その他）,歯牙障害,4,4.945587086696173,-0.47794718819261905,False
競技種目,体操（組体操）,歯牙障害以外,37,30.96342098411872,2.395898063677208,True
競技種目,体操（組体操）,歯牙障害,2,8.036579015881282,-2.3958980636772083,True
競技種目,剣道,歯牙障害以外,25,23.818016141629784,0.5345706588168144,False
競技種目,剣道,歯牙障害,5,6.1819838583702165,-0.5345706588168143,False
競技種目,卓球,歯牙障害以外,35,30.96342098411872,1.6021047388904432,False
競技種目,卓球,歯牙障害,4,8.036579015881282,-1.6021047388904441,False
競技種目,器械体操・新体操（その他）,歯牙障害以外,6,5.557537099713616,0.41364742944248073,False
競技種目,器械体操・新体操（その他）,歯牙障害,1,1.4424629002863838,-0.4136474294424805,False
競技種目,弓道,歯牙障害以外,6,7.145404842488936,-0.9444888627987632,False
競技種目,弓道,歯牙障害,3,1.8545951575110649,0.9444888627987628,False
競技種目,投てき,歯牙障害以外,18,14.290809684977871,2.1639977091555433,True
競技種目,投てき,歯牙障害,0,3.7091903150221297,-2.163997709155544,True
競技種目,持久走・長距離走,歯牙障害以外,81,72.24798229627702,2.281811033262012,True
競技種目,持久走・長距離走,歯牙障害,10,18.752017703722988,-2.281811033262013,True
競技種目,柔道,歯牙障害以外,129,112.73860973704764,3.4054107898743236,True
競技種目,柔道,歯牙障害,13,29.261390262952357,-3.4054107898743227,True
競技種目,武道等（その他）,歯牙障害以外,3,2.3818016141629785,0.8825850886525163,False
競技種目,武道等（その他）,歯牙障害,0,0.6181983858370216,-0.8825850886525164,False
競技種目,水泳,歯牙障害以外,84,73.83585003905233,2.6216758493992267,True
競技種目,水泳,歯牙障害,9,19.164149960947668,-2.6216758493992267,True
競技種目,準備・整理運動,歯牙障害以外,27,26.19981775579276,0.34512092361770225,False
競技種目,準備・整理運動,歯牙障害,6,6.800182244207238,-0.34512092361770186,False
競技種目,準備運動等,歯牙障害以外,1,0.7939338713876595,0.5094943937808232,False
競技種目,準備運動等,歯牙障害,0,0.20606612861234053,-0.5094943937808232,False
競技種目,球技（その他）,歯牙障害以外,32,35.727024212444675,-1.377641579657161,False
競技種目,球技（その他）,歯牙障害,13,9.272975787555325,1.377641579657161,False
競技種目,登山,歯牙障害以外,1,1.587867742775319,-1.0278404444245048,False
競技種目,登山,歯牙障害,1,0.41213225722468105,1.0278404444245048,False
