単語,歯牙障害_平均TFIDF,歯牙障害以外_平均TFIDF,TFIDF差_歯牙-以外,絶対差
スイッチ,0.00019110294469286594,0.00033846799096520807,-0.00014736504627234213,0.00014736504627234213
踏切,0.00038426165156152473,0.00023698771293928904,0.0001472739386222357,0.0001472739386222357
親子,0.00015617039512421255,0.00030262050110802625,-0.0001464501059838137,0.0001464501059838137
掴む,0.0006385970645098042,0.0004925597383725556,0.0001460373261372485,0.0001460373261372485
横断,0.0005092720640424433,0.00036342447843397993,0.00014584758560846336,0.00014584758560846336
滑り降りる,0.000362997695687331,0.0005087004282435493,-0.00014570273255621832,0.00014570273255621832
ベルト,0.00018534059163358214,0.0003304443236676553,-0.00014510373203407314,0.00014510373203407314
ノー,0.00039780907461279576,0.00025294127687858794,0.00014486779773420781,0.00014486779773420781
危ない,0.00023966088863814996,0.0003844343724082331,-0.00014477348377008316,0.00014477348377008316
ピッチングマシーン,0.0008106349784169932,0.0006661631723394637,0.00014447180607752956,0.00014447180607752956
まわり,0.00017143311232850015,0.00031498313555100804,-0.0001435500232225079,0.0001435500232225079
歩ける,0.00017862950856454397,0.0003219969240929871,-0.00014336741552844313,0.00014336741552844313
かくれんぼ,0.000247634660690976,0.00039029662340353256,-0.00014266196271255657,0.00014266196271255657
追い抜く,0.00022913860684361652,0.0003713297499311897,-0.00014219114308757316,0.00014219114308757316
床の間,0.00022196425230561916,0.0003631136909273433,-0.00014114943862172415,0.00014114943862172415
多い,0.0003146174356624258,0.0001738966926330312,0.0001407207430293946,0.0001407207430293946
押し倒す,0.00043733317979575514,0.00029663545754873274,0.0001406977222470224,0.0001406977222470224
窓側,0.0001445223332970814,0.00028475553499886805,-0.00014023320170178664,0.00014023320170178664
土台,0.0007397524814744771,0.0008796426026854723,-0.00013989012121099517,0.00013989012121099517
流れる,0.00030292452282022916,0.0004427862198353698,-0.00013986169701514067,0.00013986169701514067
向う,0.0003696240941569881,0.0002310291789184527,0.00013859491523853543,0.00013859491523853543
回し,0.000751551785716978,0.0006131664064154772,0.00013838537930150078,0.00013838537930150078
ひく,0.00013634697721004427,0.0002746534081442341,-0.00013830643093418982,0.00013830643093418982
伸ばす,0.0006583766226732313,0.0007951523226460398,-0.00013677569997280845,0.00013677569997280845
ワン,0.0006694220376932826,0.0008060635383121948,-0.00013664150061891227,0.00013664150061891227
アルミ,0.0005093947005399816,0.0006457754244546625,-0.00013638072391468088,0.00013638072391468088
消し,9.946707698289653e-05,0.00023315608902829154,-0.000133689012045395,0.000133689012045395
みる,0.0010042359124227888,0.001137330440061309,-0.00013309452763852017,0.00013309452763852017
格技,0.0002984914452852567,0.0004313023541715322,-0.0001328109088862755,0.0001328109088862755
自然,0.00036467905565119776,0.0004966931086443588,-0.00013201405299316103,0.00013201405299316103
物,0.000598504935005953,0.0007303880152182808,-0.00013188308021232784,0.00013188308021232784
下り,0.00018622821304701862,0.00031804900087504487,-0.00013182078782802625,0.00013182078782802625
屋内,0.00045712929217602596,0.0005873262180437093,-0.00013019692586768331,0.00013019692586768331
ホームルーム,0.0007006435601083242,0.0008306009440436418,-0.00012995738393531756,0.00012995738393531756
移る,0.0004303015852186628,0.0005599687512146698,-0.00012966716599600696,0.00012966716599600696
先生,0.0001600145560681743,0.00028965978457196084,-0.00012964522850378654,0.00012964522850378654
脳震盪,0.00021619696302956792,0.00034552809364877813,-0.00012933113061921022,0.00012933113061921022
帰り,0.0008660858803432912,0.0009952596860456756,-0.00012917380570238448,0.00012917380570238448
社会,0.0004967420523098463,0.00036833602240092663,0.0001284060299089197,0.0001284060299089197
プレイルーム,0.00030438276560983916,0.0001764217403953795,0.00012796102521445965,0.00012796102521445965
視界,0.00016300238257984967,0.00029049592550703504,-0.00012749354292718537,0.00012749354292718537
ゴミ,0.0002544816814313488,0.0003817943567121882,-0.00012731267528083936,0.00012731267528083936
排泄,0.0002877177434290185,0.00016077007138470017,0.0001269476720443183,0.0001269476720443183
駆ける,0.0006531225507581603,0.000779763128489853,-0.0001266405777316927,0.0001266405777316927
阻止,0.00041651181553169214,0.0002906738560932408,0.00012583795943845133,0.00012583795943845133
漕ぐ,0.0004141724565324392,0.0002884744341786896,0.0001256980223537496,0.0001256980223537496
きれる,0.003465397813381713,0.0033410198440258112,0.0001243779693559017,0.0001243779693559017
苦しい,0.00023211076278285047,0.00035557355931653426,-0.00012346279653368378,0.00012346279653368378
リバウンド,0.0008142775001177114,0.0009376917042760893,-0.0001234142041583779,0.0001234142041583779
綱,0.0005100951497886531,0.00038734244993838293,0.00012275269985027014,0.00012275269985027014
近づく,0.0016716533060522289,0.0015492692993436998,0.00012238400670852904,0.00012238400670852904
とぶ,0.0007364763350636059,0.0008588108828309602,-0.00012233454776735435,0.00012233454776735435
氷,0.0006004347207871454,0.00072244855799184,-0.0001220138372046946,0.0001220138372046946
磨く,0.00026417417556232807,0.00014246569866072664,0.00012170847690160143,0.00012170847690160143
飛び出す,0.0017751444277932225,0.0016537058848339727,0.0001214385429592498,0.0001214385429592498
ポート,0.0002295439304769172,0.00035064787758520345,-0.00012110394710828626,0.00012110394710828626
手の甲,0.00039806715789967093,0.00027712498645877595,0.00012094217144089498,0.00012094217144089498
むく,0.00013552203827722813,0.0002563342753114011,-0.00012081223703417298,0.00012081223703417298
初日,0.00029667758062560675,0.00017608861667024045,0.0001205889639553663,0.0001205889639553663
国語,0.00014784139005968026,0.00026770306883747846,-0.0001198616787777982,0.0001198616787777982
昼,0.0006520821859737043,0.0005322343337687238,0.00011984785220498049,0.00011984785220498049
受け取る,0.0008562594569700201,0.0009758990454291629,-0.0001196395884591428,0.0001196395884591428
しゃがむ,0.001216328740479011,0.0013358255367465113,-0.00011949679626750026,0.00011949679626750026
空手,0.0003532004756044778,0.000472516448713644,-0.00011931597310916621,0.00011931597310916621
ゴルフ,0.0008652731742817689,0.0007459754890730723,0.00011929768520869662,0.00011929768520869662
植え込み,0.00022697305583517342,0.00034616214569404543,-0.00011918908985887201,0.00011918908985887201
腹筋,0.00041214250794538714,0.0002932942974436303,0.00011884821050175682,0.00011884821050175682
一時,0.00019600420090580653,0.0003140110401545283,-0.00011800683924872177,0.00011800683924872177
やめる,0.000562423987866626,0.00044466538632417416,0.00011775860154245184,0.00011775860154245184
辺り,0.0023075346676319454,0.0024252446616213857,-0.00011770999398944037,0.00011770999398944037
グランド,0.0010189732414751982,0.0009021729740631372,0.00011680026741206094,0.00011680026741206094
シャワー,0.00039613982450049755,0.0002795662840500133,0.00011657354045048425,0.00011657354045048425
よい,0.00043575960920083233,0.0003205237007495581,0.00011523590845127421,0.00011523590845127421
新聞紙,0.0001865092190553545,0.00030116357366106246,-0.00011465435460570797,0.00011465435460570797
前面,0.00017992978069687307,0.00029453149565753477,-0.0001146017149606617,0.0001146017149606617
介助,0.0003049849939299061,0.0004195699701888051,-0.00011458497625889901,0.00011458497625889901
対向,0.00023931933269452974,0.00035320580790383687,-0.00011388647520930713,0.00011388647520930713
踏み込む,0.00026720404668744465,0.00015412038658394888,0.00011308366010349578,0.00011308366010349578
うつぶせる,0.0005280040592485439,0.0004154023047204742,0.00011260175452806968,0.00011260175452806968
すぎる,0.0009995065675932932,0.0008869599548659272,0.00011254661272736596,0.00011254661272736596
受傷,0.0026109852120877906,0.0024994993928537284,0.00011148581923406224,0.00011148581923406224
クラブ,0.0015854213841956478,0.0016958876001922575,-0.00011046621599660974,0.00011046621599660974
徒歩,0.001442115665138944,0.0013319302575057848,0.00011018540763315927,0.00011018540763315927
斜め,0.0014042003712698326,0.0012941499415974934,0.00011005042967233915,0.00011005042967233915
含む,0.00024943590598383266,0.00035937435278584636,-0.0001099384468020137,0.0001099384468020137
のしかかる,0.00017059659324434605,0.000280145712219569,-0.00010954911897522295,0.00010954911897522295
隣接,0.00020318978985039735,0.00031259976728518113,-0.00010940997743478378,0.00010940997743478378
ビニール,0.00023652402624133707,0.0003450978785049907,-0.00010857385226365363,0.00010857385226365363
光,0.00018401031701475567,0.000292095636499674,-0.00010808531948491834,0.00010808531948491834
身,0.0005783080866660647,0.0004704775031926497,0.00010783058347341493,0.00010783058347341493
エバーマット,0.00013561994903131037,0.00024328021186535462,-0.00010766026283404425,0.00010766026283404425
背,0.0004220216877952631,0.0005287659681094916,-0.00010674428031422851,0.00010674428031422851
空中,0.0007050094571325713,0.0005983440858506478,0.00010666537128192354,0.00010666537128192354
宿舎,0.0003800220243896099,0.00027475512394330165,0.00010526690044630825,0.00010526690044630825
奪う,0.0009952129418355632,0.0011003232586051259,-0.00010511031676956268,0.00010511031676956268
課外,0.0003211558459515652,0.0004256938502086167,-0.00010453800425705152,0.00010453800425705152
沿い,0.0005132313462598403,0.0004090608602141309,0.00010417048604570943,0.00010417048604570943
チアリーディング,0.00044830183442514065,0.0005519011303708458,-0.00010359929594570513,0.00010359929594570513
足下,0.00017388917753625972,0.00027746375588995814,-0.00010357457835369842,0.00010357457835369842
考査,0.0002709736001644748,0.00016747596121048782,0.00010349763895398697,0.00010349763895398697
訓練,0.00019394266621033867,0.0002972870217146568,-0.00010334435550431813,0.00010334435550431813
手伝い,0.00014903691683761553,0.00025212666383933607,-0.00010308974700172055,0.00010308974700172055
トス,0.002805877237269324,0.0029086572380432173,-0.00010278000077389333,0.00010278000077389333
布,0.0002544816814313488,0.000356966189002524,-0.00010248450757117516,0.00010248450757117516
前衛,0.0005096172440675384,0.00040776959257909164,0.00010184765148844676,0.00010184765148844676
吊る,0.00016933698421208905,0.00027106951197900474,-0.0001017325277669157,0.0001017325277669157
消す,0.0001443168019810857,0.00024549804451786804,-0.00010118124253678234,0.00010118124253678234
同級生,0.0014758255773325121,0.0015756872327803795,-9.986165544786734e-05,9.986165544786734e-05
