全候補内順位,因子,カテゴリ,研究テーマ候補,方向,歯牙障害件数,歯牙障害以外件数,合計件数,歯牙障害群内割合（％）,歯牙障害以外群内割合（％）,割合差（pt）,オッズ比,95%CI下限,95%CI上限,絶対log2OR,Fisher_p値,BH補正p値,効果量点,割合差点,統計的確実性点,対象規模点,研究優先度スコア,解釈上の注意
44,場合別2,その他の教科,場合別2「その他の教科」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,20,138,158,1.2634238787113077,2.2626660108214462,-0.9992421321101386,0.552727475034076,0.3446795557801766,0.8863527196036722,0.8553597669196448,0.012568966449149647,0.0332379334988624,68.0672268907563,60.50420168067227,63.02521008403361,45.79831932773109,61.57563025210083,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
45,場合別2,理科,場合別2「理科」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,4,42,46,0.2526847757422615,0.6886374815543532,-0.4359527058120917,0.36533067945354203,0.1308044149494973,1.0203516861530797,1.4527251825863678,0.04427431340840808,0.10537286591201124,90.75630252100841,44.537815126050425,58.82352941176471,23.10924369747899,61.07142857142857,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
46,被災学年,2,被災学年「2」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,548,1891,2439,34.61781427668983,31.005082800459093,3.612731476230735,1.1782146296849811,1.0482237650804633,1.3243257402174597,0.2366023719163799,0.006385397848674035,0.018470915436614693,27.73109243697479,82.35294117647058,65.96638655462185,93.27731092436974,60.777310924369736,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
47,発生場所2,その他,発生場所2「その他」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,59,320,379,3.7271004421983576,5.246761764223643,-1.5196613220252853,0.699149032152231,0.5266242165602171,0.9281938691543409,0.5163280784432404,0.013165948436275315,0.03405973617210353,51.26050420168067,70.58823529411765,62.18487394957983,60.50420168067227,60.21008403361344,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
48,場合別2,通学（通園）に準ずるとき,場合別2「通学（通園）に準ずるとき」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,10,12,22,0.6317119393556538,0.1967535661583866,0.43495837319726727,3.2247298156389066,1.3906875178631202,7.477511842379287,1.6891782892283347,0.007569472996448287,0.020948076432031306,93.27731092436974,43.69747899159664,64.70588235294117,1.680672268907563,59.99999999999999,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
49,場合別2,体育（保健体育）,場合別2「体育（保健体育）」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,192,895,1087,12.128869235628553,14.674536809313002,-2.545667573684449,0.8025800336561053,0.6793228703000354,0.9482011258342314,0.31728282925490625,0.009569049207586472,0.02587992853869978,33.61344537815126,76.47058823529412,63.86554621848739,83.19327731092437,59.32773109243698,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
50,競技種目,ラグビー,競技種目「ラグビー」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,13,91,104,0.82122552116235,1.4920478767010985,-0.6708223555387485,0.5466787989080982,0.3049270656581827,0.9800957108563612,0.8712346683223218,0.03808488748135735,0.09249186959758214,69.74789915966386,50.42016806722689,59.66386554621849,38.655462184873954,57.731092436974784,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
51,場合別2,学級（ホームルーム）活動,場合別2「学級（ホームルーム）活動」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,11,77,88,0.6948831332912192,1.2625020495163142,-0.567618916225095,0.5472555434387495,0.29024238875761027,1.0318569630935355,0.8697134315915332,0.06306258303923926,0.13897124780869394,68.90756302521008,49.57983193277311,55.46218487394958,34.87394957983193,55.60924369747899,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
52,遊具等,ぶらんこ,遊具等「ぶらんこ」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,4,37,41,0.2526847757422615,0.6066568289883587,-0.3539720532460972,0.4150420211218185,0.14771440389987114,1.1661684625803395,1.2686706847048577,0.11846511384709305,0.2349558091300679,86.5546218487395,36.97478991596639,50.42016806722689,20.588235294117645,55.231092436974784,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
53,発生場所2,学校外運動場・競技場,発生場所2「学校外運動場・競技場」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,119,374,493,7.517372078332281,6.1321528119363835,1.3852192663958975,1.24425608544461,1.0044236109981999,1.5413548518909912,0.3152834430079331,0.05019658934946768,0.11487296408820488,31.932773109243694,69.74789915966386,57.14285714285714,75.63025210084034,54.24369747899159,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
