列名,カテゴリ,歯牙_当該,非歯牙_当該,歯牙_その他,非歯牙_その他,Fisherオッズ比,p値
場合別2,その他儀式的行事,3,5,1580,6094,2.3141772151898734,0.2165065100467164
場合別2,その他学級活動,7,24,1576,6075,1.1242861675126903,0.8235978806615722
場合別2,その他集団宿泊的行事,12,43,1571,6056,1.0757775376371146,0.8669497995205375
場合別2,下校（降園）中,135,184,1448,5915,2.997106203459044,2.993821076593778e-19
場合別2,休憩時間中,94,538,1489,5561,0.6525349464848792,0.0001412724227071783
場合別2,体育的クラブ活動,7,13,1576,6086,2.079363529871144,0.15954205639274738
場合別2,体育的部活動,674,2081,909,4018,1.4316401366229847,6.240279305550517e-10
場合別2,体育（保健体育）,192,895,1391,5204,0.8025800336561053,0.009569049207586472
場合別2,修学旅行,6,24,1577,6075,0.9630627774254914,1.0
場合別2,児童（生徒・学生）会活動,4,15,1579,6084,1.0274857504749841,1.0
場合別2,勤労生産・奉仕的行事,1,5,1582,6094,0.770417193426043,1.0
場合別2,図画工作（美術）,0,25,1583,6074,0.0,0.005076619951011338
場合別2,大掃除,4,9,1579,6090,1.7141650833861093,0.32106464738354784
場合別2,始業前の特定時間中,24,175,1559,5924,0.5211252634472647,0.0018117991760905061
場合別2,学級（ホームルーム）活動,11,77,1572,6022,0.5472555434387495,0.06306258303923926
場合別2,家庭（技術・家庭）,0,39,1583,6060,0.0,0.00020098145179167827
場合別2,工業,1,20,1582,6079,0.19213021491782553,0.1006513850560774
場合別2,授業終了後の特定時間中,56,229,1527,5870,0.9400514179985873,0.7652715129759449
場合別2,文化的クラブ活動,0,7,1583,6092,0.0,0.35722854213534566
場合別2,文化的行事,3,24,1580,6075,0.48061708860759494,0.33826175928554636
場合別2,文化的部活動,7,41,1576,6058,0.6562770830753993,0.3723339864585614
場合別2,日常の清掃,26,103,1557,5996,0.9720959525101172,1.0
場合別2,昼食時休憩時間中,76,452,1507,5647,0.6300567851501254,0.0001806315881491963
場合別2,林間学校,1,1,1582,6098,3.854614412136536,0.3696903075482427
場合別2,水泳指導,3,7,1580,6092,1.6524412296564195,0.4399068972147061
