項目数,項目集合,事例数,支持度,支持度（％）
2,場合別1=各教科等 | 場合別2=体育（保健体育）,1087,0.1414996094766988,14.15
2,性別=女 | 発生場所1=学校内・校舎内（園内・園舎内）,1086,0.14136943504295757,14.1369
2,性別=男 | 競技種目=野球（含軟式）,1083,0.14097891174173394,14.0979
2,場合別2=体育的部活動 | 被災学年=1,1068,0.13902629523561572,13.9026
2,場合別1=休憩時間 | 発生場所1=学校内・校舎内（園内・園舎内）,1053,0.13707367872949752,13.7074
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=中,1001,0.13030460817495443,13.0305
2,場合別1=各教科等 | 性別=男,978,0.12731059619890653,12.7311
2,場合別1=休憩時間 | 被災学校種=小,971,0.12639937516271804,12.6399
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=小,965,0.12561832856027078,12.5618
2,場合別1=課外指導 | 被災学校種=中,948,0.12340536318667014,12.3405
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=2,934,0.12158292111429315,12.1583
2,和暦=平成 | 発生場所2=体育館・屋内運動場,932,0.12132257224681073,12.1323
2,場合別2=体育的部活動 | 被災学校種=中,921,0.11989065347565737,11.9891
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=2,920,0.11976047904191617,11.976
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=1,891,0.11598542046342099,11.5985
2,被災学年=2 | 被災学校種=中,887,0.11546472272845613,11.5465
2,和暦=平成 | 競技種目=野球（含軟式）,879,0.11442332725852643,11.4423
2,発生場所1=学校外（園外） | 被災学校種=高,877,0.114162978391044,11.4163
2,発生場所2=運動場・校庭（園庭） | 被災学年=2,875,0.11390262952356157,11.3903
2,発生場所2=運動場・校庭（園庭） | 被災学年=1,841,0.10947669877636032,10.9477
2,発生場所1=学校内・校舎外（園内・園舎外） | 競技種目=野球（含軟式）,826,0.10752408227024213,10.7524
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=高,826,0.10752408227024213,10.7524
2,発生場所2=運動場・校庭（園庭） | 競技種目=野球（含軟式）,822,0.10700338453527727,10.7003
2,競技種目=野球（含軟式） | 被災学校種=高,822,0.10700338453527727,10.7003
2,性別=男 | 発生場所2=体育館・屋内運動場,822,0.10700338453527727,10.7003
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=1,813,0.10583181463160635,10.5832
2,場合別1=各教科等 | 発生場所1=学校内・校舎内（園内・園舎内）,808,0.10518094246290029,10.5181
2,和暦=平成 | 場合別2=体育（保健体育）,805,0.10479041916167664,10.479
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=中,794,0.1033585003905233,10.3359
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=教室（保育室）,782,0.10179640718562874,10.1796
2,性別=女 | 被災学校種=小,771,0.1003644884144754,10.0364
2,場合別1=課外指導 | 発生場所1=学校外（園外）,755,0.09828169747461599,9.8282
2,場合別2=体育（保健体育） | 性別=男,736,0.09580838323353294,9.5808
