N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,練習 ボール,108,108,1.4059,59
2,歯 歯科,106,106,1.3798,60
2,打球 眼,106,106,1.3798,61
2,眼 視力,106,106,1.3798,62
2,強い 打つ,105,105,1.3668,63
2,当たる 眼,105,105,1.3668,64
2,当たる 前歯,104,103,1.3408,65
2,ガラス 割れる,104,104,1.3538,66
2,前歯 破る,103,103,1.3408,67
2,口 当たる,102,102,1.3278,68
2,体育 運動,101,101,1.3148,69
2,走る くる,99,98,1.2757,70
2,自転車 下校,99,99,1.2887,71
2,投げる ボール,98,98,1.2757,72
2,視力 減退,97,97,1.2627,73
2,時間 教室,96,96,1.2497,74
2,醜状 瘢痕,88,88,1.1455,75
2,時間 運動,87,87,1.1325,76
2,大腿 部,86,75,0.9763,77
2,強打 負傷,86,86,1.1195,78
2,瞳 残る,86,86,1.1195,79
2,部 部,83,82,1.0674,80
2,つまずく 転倒,83,82,1.0674,81
2,押す れる,83,82,1.0674,82
2,昇降 口,80,72,0.9373,83
2,瘢痕 残存,80,80,1.0414,84
2,機能 低下,79,79,1.0284,85
2,試合 ボール,78,78,1.0154,86
2,ボール 捕る,78,75,0.9763,87
2,意識 失う,78,77,1.0023,88
2,場 サッカー,77,77,1.0023,89
2,園 庭,76,74,0.9633,90
2,複 視,76,76,0.9893,91
2,障害 残存,75,75,0.9763,92
2,練習 相手,74,74,0.9633,93
2,ボール 打つ,74,72,0.9373,94
2,捕る 球,73,69,0.8982,95
2,植込み 手術,73,73,0.9503,96
2,高い さ,72,70,0.9112,97
2,形式 練習,72,72,0.9373,98
2,保育 室,70,69,0.8982,99
2,前歯 負傷,70,70,0.9112,100
2,ボール 当たる,70,70,0.9112,101
2,体育館 バスケットボール,70,70,0.9112,102
2,疼痛 残る,69,69,0.8982,103
2,窓 ガラス,69,62,0.8071,104
2,部 線,69,69,0.8982,105
2,手 滑る,68,68,0.8852,106
2,体育 祭,68,67,0.8722,107
2,くる ボール,67,67,0.8722,108
2,手 つく,67,67,0.8722,109
2,場 野球,66,66,0.8592,110
2,れる 手術,66,66,0.8592,111
2,外 運動,66,66,0.8592,112
2,滑る 転倒,66,66,0.8592,113
2,負傷 救急,65,65,0.8461,114
2,保健 室,65,62,0.8071,115
2,投げる られる,63,60,0.781,116
2,教室 戻る,63,63,0.8201,117
2,ボール 拾う,63,59,0.768,118
2,終了 特定,63,63,0.8201,119
2,顔面 直撃,63,63,0.8201,120
2,当たる 負傷,63,63,0.8201,121
2,守備 練習,63,63,0.8201,122
2,負傷 受診,63,63,0.8201,123
2,高次 脳,63,63,0.8201,124
2,脳 機能,63,63,0.8201,125
2,れる ボール,62,60,0.781,126
2,バレーボール 部,62,62,0.8071,127
2,ボール 顔面,62,62,0.8071,128
2,本 折れる,62,62,0.8071,129
2,心肺 蘇生,62,62,0.8071,130
2,取る 行く,61,61,0.7941,131
2,眼 部,61,60,0.781,132
2,強打 前歯,60,60,0.781,133
2,試合 形式,59,59,0.768,134
2,当たる 跳ね返る,59,59,0.768,135
2,歯 負傷,58,58,0.755,136
2,サッカー 試合,58,58,0.755,137
2,感覚 障害,57,57,0.742,138
2,時間 友人,57,57,0.742,139
2,れる 転倒,57,57,0.742,140
2,追う かけっこ,57,54,0.7029,141
2,打撃 練習,57,55,0.716,142
2,れる 負傷,56,56,0.729,143
2,部 体育館,56,56,0.729,144
2,殴る れる,56,55,0.716,145
2,前歯 当たる,56,56,0.729,146
2,ラグビー 部,56,56,0.729,147
2,至近 距離,56,56,0.729,148
2,ICD 植込み,56,56,0.729,149
2,接触 転倒,55,55,0.716,150
2,蹴る れる,55,50,0.6509,151
2,ノック 練習,55,55,0.716,152
2,眼 外傷,55,51,0.6639,153
2,友人 ふざける,54,53,0.6899,154
2,バドミントン 部,54,54,0.7029,155
2,動 器,54,54,0.7029,156
2,打つ 打球,53,53,0.6899,157
2,直撃 負傷,53,53,0.6899,158
2,挟む れる,53,53,0.6899,159
2,部 当たる,53,53,0.6899,160
2,ボール 蹴る,53,50,0.6509,161
2,当たる しまう,53,53,0.6899,162
